visitez	VER:pres	visiter
grâce	NOM	grâce
à	PRP	à
la	DET:ART	le
carte	NOM	carte
avantages	NOM	avantage
jeunes	ADJ	jeune
et	KON	et
au	PRP:det	au
coupon	NOM	coupon
dans	PRP	dans
le	DET:ART	le
guide	NOM	guide
de	PRP	de
réduction	NOM	réduction
,	PUN	,
un	DET:ART	un
bon	ADJ	bon
de	PRP	de
20	NUM	@card@
%	SYM	%
de	PRP	de
réduction	NOM	réduction
pour	PRP	pour
l'	DET:ART	le
achat	NOM	achat
de	PRP	de
stylos	NOM	stylo
(	PUN	(
à	PRP	à
partir	VER:infi	partir
de	PRP	de
10	NUM	@card@
	NOM	
d'	PRP	de
achat	NOM	achat
dans	PRP	dans
la	DET:ART	le
limite	NOM	limite
des	PRP:det	du
stocks	NOM	stock
disponibles	ADJ	disponible
).	VER:pper	).
pour	PRP	pour
bénéficier	ADJ	bénéficier
de	PRP	de
cette	PRO:DEM	ce
offre	NOM	offre
,	PUN	,
présenter	VER:infi	présenter
ce	PRO:DEM	ce
bon	ADJ	bon
à	PRP	à
la	DET:ART	le
caisse	NOM	caisse
.	SENT	.
en	PRP	en
plus	ADV	plus
,	PUN	,
pendant	PRP	pendant
l'	DET:ART	le
année	NOM	année
,	PUN	,
5	NUM	@card@
%	SYM	%
de	PRP	de
réduction	NOM	réduction
sur	PRP	sur
la	DET:ART	le
librairie	NOM	librairie
,	PUN	,
et	KON	et
10	NUM	@card@
%	SYM	%
sur	PRP	sur
la	DET:ART	le
papeterie	NOM	papeterie
sur	PRP	sur
simple	ADJ	simple
présentation	NOM	présentation
de	PRP	de
la	DET:ART	le
carte	NOM	carte
avantage	VER:pres	avantager
jeunes	ADJ	jeune
au	PRP:det	au
moment	NOM	moment
du	PRP:det	du
paiement	NOM	paiement
.	SENT	.
maison	NOM	maison
de	PRP	de
la	DET:ART	le
presse	NOM	presse
,	PUN	,
58	NUM	@card@
grande-rue	NOM	grande-rue
à	PRP	à
besançon	NOM	besançon
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
81.34	NUM	@card@
.	SENT	.
07	NUM	@card@
).	ABR	).
carnaval	NOM	carnaval
de	PRP	de
venise	NOM	venise
:	PUN	:
il	PRO:PER	il
reste	VER:pres	rester
encore	ADV	encore
quelques	PRO:IND	quelque
places	NOM	place
.	SENT	.
deuxième	NUM	deuxième
voyage	NOM	voyage
carte	VER:pres	carter
avantages	NOM	avantage
jeunes	ADJ	jeune
en	PRP	en
europe	NOM	europe
.	SENT	.
les	DET:ART	le
22	NUM	@card@
et	KON	et
23	NUM	@card@
février	NOM	février
,	PUN	,
le	DET:ART	le
carnaval	NOM	carnaval
de	PRP	de
venise	NOM	venise
,	PUN	,
pour	PRP	pour
116	NUM	@card@
	NOM	
(	PUN	(
2	NUM	@card@
jours	NOM	jour
,	PUN	,
1	NUM	@card@
nuit	NOM	nuit
).	VER:subi	).
départ	NOM	départ
de	PRP	de
belfort	NOM	belfort
,	PUN	,
de	PRP	de
besançon	NOM	besançon
,	PUN	,
de	PRP	de
lons-le-saunier	NOM	lons-le-saunier
,	PUN	,
de	PRP	de
montbéliard	NOM	montbéliard
et	KON	et
de	PRP	de
vesoul	NOM	vesoul
le	DET:ART	le
21	NUM	@card@
retour	NOM	retour
le	DET:ART	le
24	NUM	@card@
renseignements	NOM	renseignement
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
21.16	NUM	@card@
.	SENT	.
16	NUM	@card@
et	KON	et
inscriptions	NOM	inscription
au	PRP:det	au
crij	NOM	crij
de	PRP	de
franche-comté	NOM	franche-comté
,	PUN	,
27	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
république	NOM	république
à	PRP	à
besançon	NOM	besançon
.	SENT	.
