pour	PRP	pour
de	PRP	de
la	DET:ART	le
gentiane	NOM	gentiane
03.84	NUM	@card@
.	SENT	.
29.36	NUM	@card@
.	SENT	.
76	NUM	@card@
ou	KON	ou
au	PRP:det	au
03.89	NUM	@card@
.	SENT	.
48.96	NUM	@card@
.	SENT	.
37	NUM	@card@
ski	NOM	ski
de	PRP	de
fond	NOM	fond
:	PUN	:
au	PRP:det	au
ballon	NOM	ballon
,	PUN	,
le	DET:ART	le
ski	NOM	ski
de	PRP	de
fond	NOM	fond
dispose	VER:pres	disposer
d'	PRP	de
environ	ADV	environ
40	NUM	@card@
km	ABR	kilomètre
de	PRP	de
pistes	NOM	piste
ouvertes	VER:pper	ouvrir
selon	PRP	selon
l'	DET:ART	le
enneigement	NOM	enneigement
.	SENT	.
avec	PRP	avec
l'	DET:ART	le
enneigement	NOM	enneigement
actuel	ADJ	actuel
,	PUN	,
trois	NUM	trois
kilomètres	NOM	kilomètre
environ	ADV	environ
sont	VER:pres	être
accessibles	ADJ	accessible
et	KON	et
entretenus	VER:pper	entretenir
,	PUN	,
ce	PRO:DEM	ce
week-end	NOM	week-end
,	PUN	,
aux	PRP:det	au
démineurs	NOM	démineur
.	SENT	.
accueil	NOM	accueil
et	KON	et
vente	NOM	vente
de	PRP	de
forfait	NOM	forfait
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
col	NOM	col
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
(	PUN	(
démineurs	NOM	démineur
).	VER:ppre	).
renseignements	NOM	renseignement
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
29.33	NUM	@card@
.	SENT	.
44	NUM	@card@
ecole	NOM	ecole
de	PRP	de
ski	NOM	ski
:	PUN	:
des	PRP:det	du
moniteurs	NOM	moniteur
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
ski	NOM	ski
français	ADJ	français
animent	VER:pres	animer
des	PRP:det	du
cours	NOM	cour|cours
d'	PRP	de
apprentissage	NOM	apprentissage
et	KON	et
de	PRP	de
perfectionnement	NOM	perfectionnement
en	PRP	en
leçons	NOM	leçon
particulières	ADJ	particulier
en	PRP	en
cours	NOM	cour|cours
collectifs	ADJ	collectif
ou	KON	ou
en	PRP	en
stage	NOM	stage
;	PUN	;
sorties	VER:pper	sortir
raquettes	NOM	raquette
les	DET:ART	le
samedis	NOM	samedi
après-midi	NOM	après-midi
et	KON	et
les	DET:ART	le
dimanches	NOM	dimanche
matins	NOM	matin
,	PUN	,
renseignements	NOM	renseignement
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
ski	NOM	ski
,	PUN	,
au	PRP:det	au
3	NUM	@card@
bis	NOM	bis
,	PUN	,
rue	VER:pres	ruer
georges-mercklé	VER:pper	georges-mercklé
90300	NUM	@card@
valdoie	NOM	valdoie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
:	PUN	:
03.84	NUM	@card@
.	SENT	.
29.06	NUM	@card@
.	SENT	.
65	NUM	@card@
;	PUN	;
nature	NOM	nature
et	KON	et
découverte	NOM	découverte
:	PUN	:
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
nature	NOM	nature
et	KON	et
découverte	NOM	découverte
des	PRP:det	du
trois	NUM	trois
vallées	NOM	vallée
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
»	PUN:cit	»
a	VER:pres	avoir
programmé	VER:pper	programmer
des	PRP:det	du
randonnées	NOM	randonnée
raquettes	NOM	raquette
accompagnées	VER:pper	accompagner
de	PRP	de
moniteurs	NOM	moniteur
diplômés	VER:pper	diplômer
d'	PRP	de
etat	NOM	etat
et	KON	et
des	PRP:det	du
activités	NOM	activité
autour	ADV	autour
de	PRP	de
la	DET:ART	le
raquette	NOM	raquette
:	PUN	:
tir	NOM	tir
à	PRP	à
l'	DET:ART	le
arc	NOM	arc
sur	PRP	sur
parcours	NOM	parcours
sauvage	ADJ	sauvage
,	PUN	,
orientation	NOM	orientation
,	PUN	,
nocturne	ADJ	nocturne
,	PUN	,
iglootage	NOM	iglootage
,	PUN	,
animation	NOM	animation
de	PRP	de
classe	NOM	classe
de	PRP	de
neige	NOM	neige
,	PUN	,
rendez-vous	NOM	rendez-vous
le	DET:ART	le
matin	NOM	matin
à	PRP	à
9	NUM	@card@
h	ABR	heure
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
départ	NOM	départ
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
14	NUM	@card@
f	NOM	f
à	PRP	à
la	DET:ART	le
maison	NOM	maison
familiale	ADJ	familial
des	PRP:det	du
myrtilles	NOM	myrtille
au	PRP:det	au
ballon	NOM	ballon
.	SENT	.
renseignements	NOM	renseignement
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
23.15	NUM	@card@
.	SENT	.
12	NUM	@card@
ou	KON	ou
au	PRP:det	au
06.86	NUM	@card@
.	SENT	.
63.86	NUM	@card@
.	SENT	.
64	NUM	@card@
accompagnateurs	NOM	accompagnateur
en	PRP	en
montagne	NOM	montagne
:	PUN	:
venez	VER:pres	venir
découvrir	VER:infi	découvrir
les	DET:ART	le
richesses	NOM	richesse
du	PRP:det	du
ballon	NOM	ballon
d'	PRP	de
alsace	NOM	alsace
avec	PRP	avec
des	PRP:det	du
randonnées	NOM	randonnée
raquettes	NOM	raquette
animées	VER:pper	animer
par	PRP	par
la	DET:ART	le
compagnie	NOM	compagnie
des	PRP:det	du
accompagnateurs	NOM	accompagnateur
professionnels	ADJ	professionnel
en	PRP	en
montagne	NOM	montagne
.	SENT	.
rendez-vous	NOM	rendez-vous
le	DET:ART	le
matin	NOM	matin
à	PRP	à
9	NUM	@card@
h	ABR	heure
et	KON	et
l'	DET:ART	le
après-midi	NOM	après-midi
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
bureau	NOM	bureau
de	PRP	de
la	DET:ART	le
compagnie	NOM	compagnie
des	PRP:det	du
accompagnateurs	NOM	accompagnateur
en	PRP	en
montagne	NOM	montagne
au	PRP:det	au
chalet	NOM	chalet
de	PRP	de
la	DET:ART	le
gentiane	NOM	gentiane
,	PUN	,
renseignements	NOM	renseignement
au	PRP:det	au
06.81	NUM	@card@
.	SENT	.
57.60	NUM	@card@
.	SENT	.
65	NUM	@card@
