depuis	PRP	depuis
marier	VER:infi	marier
son	DET:POS	son
fils	NOM	fil|fils
.	SENT	.
ce	PRO:DEM	ce
dernier	ADJ	dernier
a	VER:pres	avoir
adressé	VER:pper	adresser
le	DET:ART	le
10	NUM	@card@
octobre	NOM	octobre
un	DET:ART	un
courrier	NOM	courrier
à	PRP	à
la	DET:ART	le
présidente	NOM	président
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
en	PRP	en
mairie	NOM	mairie
de	PRP	de
champagney	NOM	champagney
,	PUN	,
souhaitant	VER:ppre	souhaiter
réserver	VER:infi	réserver
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
les	DET:ART	le
2	NUM	@card@
et	KON	et
3	NUM	@card@
août	NOM	août
.	SENT	.
a	VER:pres	avoir
cette	PRO:DEM	ce
date	NOM	date
,	PUN	,
sur	PRP	sur
le	DET:ART	le
calendrier	NOM	calendrier
ne	ADV	ne
figure	VER:pres	figurer
aucune	PRO:IND	aucun
réservation	NOM	réservation
.	SENT	.
le	DET:ART	le
20	NUM	@card@
octobre	NOM	octobre
un	DET:ART	un
courrier	NOM	courrier
émanant	VER:ppre	émaner
de	PRP	de
jean-luc	NOM	jean-luc
mathey	NOM	mathey
,	PUN	,
candidat	NOM	candidat
de	PRP	de
l'	DET:ART	le
opposition	NOM	opposition
,	PUN	,
souhaite	VER:pres	souhaiter
réserver	VER:infi	réserver
,	PUN	,
pour	PRP	pour
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
sa	DET:POS	son
fille	NOM	fille
,	PUN	,
la	DET:ART	le
même	ADJ	même
salle	NOM	salle
le	DET:ART	le
même	ADJ	même
week-end	NOM	week-end
.	SENT	.
lors	ADV	lors
de	PRP	de
la	DET:ART	le
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
du	PRP:det	du
calendrier	NOM	calendrier
des	PRP:det	du
fêtes	NOM	fête
et	KON	et
des	PRP:det	du
réservations	NOM	réservation
,	PUN	,
le	DET:ART	le
7	NUM	@card@
novembre	NOM	novembre
,	PUN	,
le	DET:ART	le
maire	NOM	maire
gérard	ADJ	gérard
poivey	NOM	poivey
,	PUN	,
préside	VER:pres	présider
la	DET:ART	le
séance	NOM	séance
à	PRP	à
la	DET:ART	le
place	NOM	place
de	PRP	de
la	DET:ART	le
présidente	NOM	président
en	PRP	en
exercice	NOM	exercice
,	PUN	,
présente	ADJ	présent
à	PRP	à
la	DET:ART	le
réunion	NOM	réunion
.	SENT	.
le	DET:ART	le
premier	NUM	premier
demandeur	NOM	demandeur
se	PRO:PER	se
voit	VER:pres	voir
refuser	VER:infi	refuser
la	DET:ART	le
salle	NOM	salle
au	PRP:det	au
bénéfice	NOM	bénéfice
du	PRP:det	du
second	NOM	second
,	PUN	,
et	KON	et
ce	PRO:DEM	ce
sur	PRP	sur
intervention	NOM	intervention
du	PRP:det	du
maire	NOM	maire
.	SENT	.
le	DET:ART	le
21	NUM	@card@
novembre	NOM	novembre
,	PUN	,
jean-luc	NOM	jean-luc
mathey	NOM	mathey
confirme	VER:pres	confirmer
la	DET:ART	le
dite	ADJ	dit
réservation	NOM	réservation
à	PRP	à
gérard	ADJ	gérard
poivey	NOM	poivey
et	KON	et
adresse	NOM	adresse
un	DET:ART	un
double	NOM	double
du	PRP:det	du
courrier	NOM	courrier
à	PRP	à
nicole	ADJ	nicole
falaschini	NOM	falaschini
.	SENT	.
c'	PRO:DEM	ce
en	PRO:PER	en
est	VER:pres	être
trop	ADV	trop
pour	PRP	pour
la	DET:ART	le
présidente	NOM	président
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
une	DET:ART	un
réunion	NOM	réunion
sur	PRP	sur
convocation	NOM	convocation
du	PRP:det	du
maire	NOM	maire
s'	PRO:PER	se
est	VER:pres	être
tenue	VER:pper	tenir
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
quelques	PRO:IND	quelque
jours	NOM	jour
,	PUN	,
pour	PRP	pour
la	DET:ART	le
nouvelle	ADJ	nouveau
restructuration	NOM	restructuration
du	PRP:det	du
comité	NOM	comité
.	SENT	.
nicole	ADJ	nicole
falaschini	NOM	falaschini
a	VER:pres	avoir
évoqué	VER:pper	évoquer
ses	DET:POS	son
griefs	NOM	grief
et	KON	et
ses	DET:POS	son
reproches	NOM	reproche
envers	PRP	envers
le	DET:ART	le
premier	NUM	premier
magistrat	NOM	magistrat
pour	PRP	pour
lui	PRO:PER	lui
remettre	VER:infi	remettre
ensuite	ADV	ensuite
un	DET:ART	un
courrier	NOM	courrier
:	PUN	:
«	PUN:cit	«
...	PUN	...
suite	NOM	suite
à	PRP	à
un	DET:ART	un
refus	NOM	refus
du	PRP:det	du
prêt	NOM	prêt
de	PRP	de
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
pourtant	ADV	pourtant
demandé	VER:pper	demander
avant	PRP	avant
le	DET:ART	le
bénéficiaire	NOM	bénéficiaire
choisi	VER:pper	choisir
.	SENT	.
de	PRP	de
plus	ADV	plus
étant	VER:ppre	être
en	PRP	en
désaccord	NOM	désaccord
avec	PRP	avec
la	DET:ART	le
gestion	NOM	gestion
actuelle	ADJ	actuel
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
je	PRO:PER	je
vous	PRO:PER	vous
fais	VER:pres	faire
part	NOM	part
de	PRP	de
ma	DET:POS	mon
démission	NOM	démission
du	PRP:det	du
poste	NOM	poste
que	PRO:REL	que
j'	PRO:PER	je
occupe	VER:pres	occuper
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
et	KON	et
de	PRP	de
l'	DET:ART	le
association	NOM	association
les	DET:ART	le
genets	NOM	genet
»	PUN:cit	»
concernant	VER:ppre	concerner
son	DET:POS	son
éventuelle	ADJ	éventuel
démission	NOM	démission
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
,	PUN	,
«	PUN:cit	«
l'	DET:ART	le
heure	NOM	heure
est	VER:pres	être
à	PRP	à
la	DET:ART	le
réflexion	NOM	réflexion
,	PUN	,
pour	PRP	pour
le	DET:ART	le
moment	NOM	moment
je	PRO:PER	je
prends	VER:pres	prendre
du	PRP:det	du
repos	NOM	repos
,	PUN	,
je	PRO:PER	je
verrai	VER:futu	voir
après	ADV	après
...	PUN	...
».	VER:simp	».
lors	ADV	lors
de	PRP	de
la	DET:ART	le
présentation	NOM	présentation
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
le	DET:ART	le
maire	NOM	maire
avait	VER:impf	avoir
longuement	ADV	longuement
expliqué	VER:pper	expliquer
qu'	KON	que
il	PRO:PER	il
ne	ADV	ne
voulait	VER:impf	vouloir
pas	ADV	pas
favoriser	VER:infi	favoriser
un	DET:ART	un
élu	NOM	élu
par	PRP	par
rapport	NOM	rapport
à	PRP	à
un	DET:ART	un
privé	ADJ	privé
,	PUN	,
mais	KON	mais
il	PRO:PER	il
est	VER:pres	être
tout	ADV	tout
de	PRP	de
même	ADV	même
des	PRP:det	du
choses	NOM	chose
que	KON	que
bon	ADJ	bon
nombre	NOM	nombre
ont	VER:pres	avoir
du	PRP:det	du
mal	NOM	mal
à	PRP	à
comprendre	VER:infi	comprendre
.	SENT	.
