a	VER:pres	avoir
palestine	NOM	palestine
2000	NUM	@card@
/	PUN	/
2002	NUM	@card@
»,	NOM	»,
de	PRP	de
jérôme	NOM	jérôme
sessini	ADJ	sessini
et	KON	et
paolo	NOM	paolo
gerace	NOM	gerace
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
arase	NOM	arase
,	PUN	,
44	NUM	@card@
rue	NOM	rue
des	PRP:det	du
tiercelins	NOM	tiercelin
.	SENT	.
-	PUN	-
«	PUN:cit	«
turner	VER:infi	turner
et	KON	et
le	DET:ART	le
lorrain	ADJ	lorrain
»,	NOM	»,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
musée	NOM	musée
des	PRP:det	du
beaux-arts	NOM	beaux-arts
,	PUN	,
3	NUM	@card@
place	NOM	place
stanislas	NOM	stanislas
.	SENT	.
-	PUN	-
«	PUN:cit	«
gérard	NOM	gérard
collin	ADJ	collin
-	PUN	-
thiébaut	NOM	thiébaut
»	PUN:cit	»
cabinet	NOM	cabinet
d'	PRP	de
art	NOM	art
graphique	ADJ	graphique
et	KON	et
3	NUM	@card@
salles	NOM	salle
de	PRP	de
musée	NOM	musée
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
musée	NOM	musée
des	PRP:det	du
beaux-arts	NOM	beaux-arts
,	PUN	,
3	NUM	@card@
place	NOM	place
stanislas	NOM	stanislas
.	SENT	.
-	PUN	-
«	PUN:cit	«
les	DET:ART	le
installations	NOM	installation
de	PRP	de
schutzauer	NOM	schutzauer
»,	ADJ	»,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
,	PUN	,
galeries	NOM	galerie
socles	NOM	socle
et	KON	et
cimaises	NOM	cimaise
-	PUN	-
mjc	NOM	mjc
philippe	NOM	philippe
desforges	ADJ	desforges
,	PUN	,
27	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
république	NOM	république
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
27.40	NUM	@card@
.	SENT	.
53	NUM	@card@
-	PUN	-
«	PUN:cit	«
dominique	ADJ	dominique
mérigard	NOM	mérigard
»,	ADJ	»,
galerie	NOM	galerie
de	PRP	de
photographies	NOM	photographie
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
galerie	NOM	galerie
de	PRP	de
visu	ADJ	visu
,	PUN	,
mjc	NOM	mjc
lillebonne	ADJ	lillebonne
,	PUN	,
14	NUM	@card@
rue	NOM	rue
du	PRP:det	du
cheval	NOM	cheval
blanc	ADJ	blanc
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
36.82	NUM	@card@
.	SENT	.
82	NUM	@card@
-	PUN	-
«	PUN:cit	«
patricia	NOM	patricia
lippert	ADJ	lippert
»,	ADJ	»,
peintures	NOM	peinture
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
sur	PRP	sur
rendez-vous	NOM	rendez-vous
,	PUN	,
à	PRP	à
la	DET:ART	le
galerie	NOM	galerie
lillebonne	ADJ	lillebonne
,	PUN	,
mjc	NOM	mjc
lillebonne	ADJ	lillebonne
,	PUN	,
14	NUM	@card@
rue	NOM	rue
du	PRP:det	du
cheval-blanc	NOM	cheval-blanc
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
36.82	NUM	@card@
.	SENT	.
82	NUM	@card@
-	PUN	-
«	PUN:cit	«
la	DET:ART	le
tête	NOM	tête
au	PRP:det	au
carré	NOM	carré
-	PUN	-
ateliers	NOM	atelier
de	PRP	de
christophe	ADJ	christophe
baudson	NOM	baudson
,	PUN	,
peintre	NOM	peintre
»,	ADJ	»,
l'	DET:ART	le
autoportrait	NOM	autoportrait
vu	VER:pper	voir
par	PRP	par
des	PRP:det	du
écoliers	NOM	écolier
,	PUN	,
à	PRP	à
arrimage	NOM	arrimage
,	PUN	,
le	DET:ART	le
cèdre	NOM	cèdre
bleu	ADJ	bleu
,	PUN	,
entrée	VER:pper	entrer
17	NUM	@card@
rue	NOM	rue
jean	NOM	jean
mihé	NOM	mihé
,	PUN	,
nancy	NOM	nancy
.	SENT	.
ouverture	NOM	ouverture
sur	PRP	sur
réservation	NOM	réservation
téléphonique	ADJ	téléphonique
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
93.36	NUM	@card@
.	SENT	.
94	NUM	@card@
-	PUN	-
«	PUN:cit	«
dépasser	VER:infi	dépasser
les	DET:ART	le
frontières	ADJ	frontière
»,	NOM	»,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
g	VER:simp	g
	NOM	
the	VER:subi	the
institut	NOM	institut
,	PUN	,
39	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
ravinelle	NOM	ravinelle
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
-	PUN	-
«	PUN:cit	«
la	DET:ART	le
vie	NOM	vie
par	PRP	par
le	DET:ART	le
don	NOM	don
d'	PRP	de
organes	NOM	organe
,	PUN	,
de	PRP	de
tissus	NOM	tissu
,	PUN	,
de	PRP	de
moelle	NOM	moelle
,	PUN	,
de	PRP	de
sperme	NOM	sperme
,	PUN	,
de	PRP	de
sang	NOM	sang
»,	ADJ	»,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
carrefour	NOM	carrefour
santé	NOM	santé
,	PUN	,
14	NUM	@card@
rue	NOM	rue
saint-thiébaut	NOM	saint-thiébaut
,	PUN	,
nancy	NOM	nancy
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
35.02	NUM	@card@
.	SENT	.
98	NUM	@card@
-	PUN	-
«	PUN:cit	«
jacky	NOM	jacky
joannes	ADJ	joannes
»,	ADJ	»,
photographies	NOM	photographie
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
,	PUN	,
mjc	NOM	mjc
haut-du-lièvre	NOM	haut-du-lièvre
,	PUN	,
avenue	NOM	avenue
pinchard	ADJ	pinchard
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
96.54	NUM	@card@
.	SENT	.
11	NUM	@card@
-	PUN	-
comment	ADV	comment
naît	VER:pres	naître
une	DET:ART	un
bande	NOM	bande
dessinée	VER:pper	dessiner
?	SENT	?
12	NUM	@card@
planches	NOM	planche
illustrées	VER:pper	illustrer
retracent	VER:pres	retracer
la	DET:ART	le
naissance	NOM	naissance
d'	PRP	de
une	DET:ART	un
bd	NOM	bd
jusqu	NOM	jusqu
à	PRP	à
la	DET:ART	le
fabrication	NOM	fabrication
du	PRP:det	du
livre	NOM	livre
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
section	NOM	section
jeunesse	NOM	jeunesse
de	PRP	de
la	DET:ART	le
médiathèque	NOM	médiathèque
,	PUN	,
10	NUM	@card@
rue	NOM	rue
du	PRP:det	du
baron-louis	NOM	baron-louis
.	SENT	.
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
a	VER:pres	avoir
richardmenil	NOM	richardmenil
-	PUN	-
«	PUN:cit	«
alexia	NOM	alexia
daniel	ADJ	daniel
»,	ADJ	»,
recherches	NOM	recherche
acryliques	ADJ	acrylique
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
a	VER:pres	avoir
rozelieures	NOM	rozelieures
-	PUN	-
maison	NOM	maison
de	PRP	de
la	DET:ART	le
mirabelle	NOM	mirabelle
(	PUN	(
près	ADV	près
bayon	NOM	bayon
)	PUN	)
:	PUN	:
découverte	VER:pper	découvrir
des	PRP:det	du
quatre	NUM	quatre
saisons	NOM	saison
de	PRP	de
la	DET:ART	le
mirabelle	NOM	mirabelle
,	PUN	,
fruit	NOM	fruit
symbole	NOM	symbole
de	PRP	de
la	DET:ART	le
lorraine	NOM	lorrain
:	PUN	:
présentation	NOM	présentation
pédagogique	ADJ	pédagogique
autour	ADV	autour
d'	PRP	de
un	DET:ART	un
mirabellier	NOM	mirabellier
,	PUN	,
projection	NOM	projection
sur	PRP	sur
écran	NOM	écran
géant	NOM	géant
,	PUN	,
visite	NOM	visite
de	PRP	de
l'	DET:ART	le
atelier	NOM	atelier
de	PRP	de
distillation	NOM	distillation
,	PUN	,
passage	NOM	passage
dans	PRP	dans
une	DET:ART	un
mirabelle	NOM	mirabelle
géante	NOM	géant
...	PUN	...
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
samedi	NOM	samedi
,	PUN	,
dimanche	NOM	dimanche
et	KON	et
jours	NOM	jour
fériés	ADJ	férié
:	PUN	:
sur	PRP	sur
demande	NOM	demande
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
72.32	NUM	@card@
.	SENT	.
26	NUM	@card@
a	VER:pres	avoir
sion	NOM	sion
-	PUN	-
«	PUN:cit	«
100	NUM	@card@
ans	NOM	an
de	PRP	de
cartes	NOM	carte
postales	ADJ	postal
»,	ADJ	»,
au	PRP:det	au
couvent	NOM	couvent
,	PUN	,
gratuit	ADJ	gratuit
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
03.83	NUM	@card@
.	SENT	.
25.14	NUM	@card@
.	SENT	.
85	NUM	@card@
-	PUN	-
«	PUN:cit	«
aux	PRP:det	au
origines	NOM	origine
de	PRP	de
la	DET:ART	le
lorraine	NOM	lorrain
rurale	ADJ	rural
»,	ADJ	»,
salle	NOM	salle
d'	PRP	de
exposition	NOM	exposition
du	PRP:det	du
cloître	NOM	cloître
,	PUN	,
entrée	NOM	entrée
par	PRP	par
le	DET:ART	le
musée	NOM	musée
archéologique	ADJ	archéologique
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
jours	NOM	jour
,	PUN	,
de	PRP	de
15	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
a	VER:pres	avoir
toul	NOM	toul
-	PUN	-
«	PUN:cit	«
trois	NUM	trois
années	NOM	année
d'	PRP	de
enrichissement	NOM	enrichissement
»,	ADJ	»,
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
musée	NOM	musée
d'	PRP	de
art	NOM	art
et	KON	et
d'	PRP	de
histoire	NOM	histoire
,	PUN	,
25	NUM	@card@
rue	NOM	rue
gouvion-saint-cyr	ADJ	gouvion-saint-cyr
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
64.13	NUM	@card@
.	SENT	.
38	NUM	@card@
