samedi	NOM	samedi
est	VER:pres	être
2	NUM	@card@
e	NOM	e
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
papillon	NOM	papillon
et	KON	et
edwige	NOM	edwige
demangeat	ADJ	demangeat
est	VER:pres	être
3	NUM	@card@
e	NOM	e
sur	PRP	sur
50	NUM	@card@
m	ADJ	m
brasse	NOM	brasse
.	SENT	.
pour	PRP	pour
les	DET:ART	le
médaillés	VER:pper	médailler
avenir	NOM	avenir
(	PUN	(
nés	VER:pper	naître
en	PRP	en
94	NUM	@card@
et	KON	et
après	KON	après
)	PUN	)
jules	NOM	jules
lenoir	NOM	lenoir
remporter	VER:infi	remporter
4	NUM	@card@
médailles	NOM	médaille
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
25	NUM	@card@
m	ADJ	m
brasse	NOM	brasse
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
sur	PRP	sur
25	NUM	@card@
m	NOM	m
nage	VER:pres	nager
libre	ADJ	libre
,	PUN	,
2	NUM	@card@
e	NOM	e
sur	PRP	sur
25	NUM	@card@
m	ADJ	m
dos	NOM	dos
et	KON	et
3	NUM	@card@
e	NOM	e
sur	PRP	sur
25	NUM	@card@
m	ADJ	m
papillon	NOM	papillon
et	KON	et
lauriane	NOM	lauriane
haag	NOM	haag
gagne	VER:pres	gagner
2	NUM	@card@
médailles	NOM	médaille
,	PUN	,
2	NUM	@card@
e	NOM	e
sur	PRP	sur
25	NUM	@card@
m	NOM	m
brasse	VER:pres	brasser
et	KON	et
3	NUM	@card@
e	NOM	e
sur	PRP	sur
25	NUM	@card@
m	ADJ	m
dos	NOM	dos
.	SENT	.
une	DET:ART	un
pluie	NOM	pluie
de	PRP	de
médailles	NOM	médaille
dont	PRO:REL	dont
peuvent	VER:pres	pouvoir
être	VER:infi	être
fiers	ADJ	fier
leurs	DET:POS	leur
deux	NUM	deux
entraîneurs	NOM	entraîneur
,	PUN	,
francis	VER:simp	francis
quartier	NOM	quartier
et	KON	et
nathalie	NOM	nathalie
bluntzer	NOM	bluntzer
.	SENT	.
