ce	PRO:DEM	ce
impressionnés	VER:pper	impressionner
par	PRP	par
la	DET:ART	le
dimension	NOM	dimension
du	PRP:det	du
grand	ADJ	grand
bassin	NOM	bassin
et	KON	et
le	DET:ART	le
niveau	NOM	niveau
international	ADJ	international
du	PRP:det	du
meeting	NOM	meeting
qui	PRO:REL	qui
accueillait	VER:impf	accueillir
des	PRP:det	du
clubs	NOM	club
allemands	ADJ	allemand
et	KON	et
luxembourgeois	ADJ	luxembourgeois
,	PUN	,
les	DET:ART	le
nageurs	NOM	nageur
de	PRP	de
neufchâteau	NOM	neufchâteau
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
des	PRP:det	du
résultats	NOM	résultat
moyens	ADJ	moyen
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
rentrés	VER:pper	rentrer
tôt	ADV	tôt
pour	PRP	pour
éviter	VER:infi	éviter
la	DET:ART	le
neige	NOM	neige
sur	PRP	sur
la	DET:ART	le
route	NOM	route
et	KON	et
ainsi	ADV	ainsi
...	PUN	...
un	DET:ART	un
nouveau	ADJ	nouveau
contre-temps	NOM	contre-temps
.	SENT	.
b.	ABR	b.
s.	ABR	s.
