mercredi	NOM	mercredi
concerts	NOM	concert
de	PRP	de
guitare	NOM	guitare
à	PRP	à
nancy	NOM	nancy
.	SENT	.
l'	DET:ART	le
ensemble	NOM	ensemble
poirel	NOM	poirel
à	PRP	à
nancy	NOM	nancy
présente	VER:pres	présenter
les	DET:ART	le
14	NUM	@card@
et	KON	et
15	NUM	@card@
février	NOM	février
,	PUN	,
la	DET:ART	le
troisième	NUM	troisième
édition	NOM	édition
des	PRP:det	du
concerts	NOM	concert
de	PRP	de
guitare	NOM	guitare
:	PUN	:
sergio	NOM	sergio
et	KON	et
odaïr	NOM	odaïr
assad	NOM	assad
,	PUN	,
juan	NOM	juan
josé	ADJ	josé
,	PUN	,
mosalini	NOM	mosalini
et	KON	et
léonardo	NOM	léonardo
sanchez	VER:pres	sanchez
,	PUN	,
latitudes	NOM	latitude
,	PUN	,
christophe	ADJ	christophe
pratiffi	NOM	pratiffi
et	KON	et
gaspar	NOM	gaspar
hoyos	NOM	hoyos
,	PUN	,
autant	ADV	autant
d'	PRP	de
artistes	NOM	artiste
à	PRP	à
découvrir	VER:infi	découvrir
en	PRP	en
compagnie	NOM	compagnie
de	PRP	de
claude	NOM	claude
hausermann	ADJ	hausermann
,	PUN	,
directrice	ADJ	directeur
de	PRP	de
la	DET:ART	le
salle	NOM	salle
poirel	NOM	poirel
à	PRP	à
nancy	NOM	nancy
.	SENT	.
france	NOM	france
bleu	ADJ	bleu
sud	NOM	sud
lorraine	ADJ	lorrain
:	PUN	:
100.5	NUM	@card@
à	PRP	à
nancy	NOM	nancy
.	SENT	.
