horaire	NOM	horaire
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
approuve	VER:pres	approuver
la	DET:ART	le
modification	NOM	modification
du	PRP:det	du
pos	NOM	pos
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
programme	NOM	programme
des	PRP:det	du
travaux	NOM	travail
onf	NOM	onf
2003	NUM	@card@
:	PUN	:
il	PRO:PER	il
est	VER:pres	être
émis	VER:pper	émettre
un	DET:ART	un
avis	NOM	avis
favorable	ADJ	favorable
au	PRP:det	au
programme-devis	NOM	programme-devis
de	PRP	de
travaux	NOM	travail
pour	PRP	pour
2003	NUM	@card@
présenté	VER:pper	présenter
par	PRP	par
l'	DET:ART	le
onf	NOM	onf
,	PUN	,
d'	PRP	de
un	DET:ART	un
montant	ADJ	montant
ttc	NOM	ttc
de	PRP	de
8.729	NUM	@card@
,	PUN	,
27	NUM	@card@
.	ABR	.
adoption	NOM	adoption
du	PRP:det	du
projet	NOM	projet
de	PRP	de
zonage	NOM	zonage
d'	PRP	de
assainissement	NOM	assainissement
:	PUN	:
au	PRP:det	au
vu	VER:pper	voir
de	PRP	de
la	DET:ART	le
loi	NOM	loi
sur	PRP	sur
l'	DET:ART	le
eau	NOM	eau
et	KON	et
notamment	ADV	notamment
de	PRP	de
son	DET:POS	son
article	NOM	article
relatif	ADJ	relatif
à	PRP	à
la	DET:ART	le
collecte	NOM	collecte
des	PRP:det	du
eaux	NOM	eau
usées	ADJ	usé
,	PUN	,
et	KON	et
considérant	VER:ppre	considérer
que	KON	que
le	DET:ART	le
projet	NOM	projet
de	PRP	de
zonage	NOM	zonage
d'	PRP	de
assainissement	NOM	assainissement
est	VER:pres	être
prêt	ADJ	prêt
à	PRP	à
être	VER:infi	être
adopté	VER:pper	adopter
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
d'	PRP	de
adopter	VER:infi	adopter
le	DET:ART	le
projet	NOM	projet
de	PRP	de
zonage	NOM	zonage
d'	PRP	de
assainissement	NOM	assainissement
;	PUN	;
de	PRP	de
procéder	VER:infi	procéder
à	PRP	à
l'	DET:ART	le
enquête	NOM	enquête
publique	ADJ	publique
;	PUN	;
de	PRP	de
demander	VER:infi	demander
la	DET:ART	le
désignation	NOM	désignation
d'	PRP	de
un	DET:ART	un
commissaire-enquêteur	NOM	commissaire-enquêteur
auprès	ADV	auprès
du	PRP:det	du
tribunal	NOM	tribunal
administratif	ADJ	administratif
;	PUN	;
création	NOM	création
d'	PRP	de
un	DET:ART	un
arrêté	NOM	arrêté
prescrivant	VER:ppre	prescrire
la	DET:ART	le
mise	NOM	mise
à	PRP	à
enquête	NOM	enquête
publique	ADJ	publique
du	PRP:det	du
zonage	NOM	zonage
et	KON	et
de	PRP	de
l'	DET:ART	le
assainissement	NOM	assainissement
.	SENT	.
indemnité	NOM	indemnité
d'	PRP	de
éviction	NOM	éviction
:	PUN	:
une	DET:ART	un
indemnité	NOM	indemnité
d'	PRP	de
éviction	NOM	éviction
de	PRP	de
4.340	NUM	@card@
	NOM	
sera	VER:futu	être
versé	VER:pper	verser
à	PRP	à
m.	ABR	m.
guy	NOM	guy
billod	ADJ	billod
suite	NOM	suite
à	PRP	à
la	DET:ART	le
reprise	NOM	reprise
de	PRP	de
terrains	NOM	terrain
situés	VER:pper	situer
lieudit	NOM	lieudit
«	PUN:cit	«
sous	PRP	sous
la	DET:ART	le
caubonotte	NOM	caubonotte
»	PUN:cit	»
pour	PRP	pour
la	DET:ART	le
réalisation	NOM	réalisation
du	PRP:det	du
lotissement	NOM	lotissement
«	PUN:cit	«
sous	PRP	sous
la	DET:ART	le
combonotte	NOM	combonotte
»	PUN:cit	»
