jacques	NOM	jacque|jacques
être	VER:infi	être
journaliste	NOM	journaliste
,	PUN	,
qu'	KON	que
on	PRO:PER	on
devrait	VER:cond	devoir
payer	VER:infi	payer|payer
et	KON	et
non	ADV	non
être	VER:infi	être
payé	VER:pper	payer|payer
pour	PRP	pour
exercer	VER:infi	exercer
ce	PRO:DEM	ce
métier	NOM	métier
,	PUN	,
car	KON	car
le	DET:ART	le
journalisme	NOM	journalisme
,	PUN	,
ça	PRO:DEM	cela
consistait	VER:impf	consister
à	PRP	à
épouser	VER:infi	épouser
l'	DET:ART	le
histoire	NOM	histoire
»	PUN:cit	»
jean-pierre	NOM	jean-pierre
raffarin	ADJ	raffarin
:	PUN	:
«	PUN:cit	«
la	DET:ART	le
disparition	NOM	disparition
de	PRP	de
françoise	ADJ	françoise
giroud	NOM	giroud
est	VER:pres	être
une	DET:ART	un
profonde	ADJ	profond
tristesse	NOM	tristesse
.	SENT	.
l'	DET:ART	le
exigence	NOM	exigence
de	PRP	de
sa	DET:POS	son
plume	NOM	plume
,	PUN	,
la	DET:ART	le
chaleur	NOM	chaleur
de	PRP	de
sa	DET:POS	son
voix	NOM	voix
,	PUN	,
ses	DET:POS	son
regards	NOM	regard
au	PRP:det	au
laser	NOM	laser
faisaient	VER:impf	faire
d'	PRP	de
elle	PRO:PER	elle
un	DET:ART	un
fil	NOM	fil
rouge	ADJ	rouge
entre	PRP	entre
l'	DET:ART	le
actualité	NOM	actualité
et	KON	et
la	DET:ART	le
pensée	NOM	pensée
»,	ADJ	»,
ajoute	VER:pres	ajouter
le	DET:ART	le
premier	NUM	premier
ministre	NOM	ministre
pour	KON	pour
qui	PRO:REL	qui
«	PUN:cit	«
les	DET:ART	le
engagements	NOM	engagement
»	PUN:cit	»
de	PRP	de
mme	ADJ	mme
giroud	NOM	giroud
«	PUN:cit	«
ont	VER:pres	avoir
été	VER:pper	être
profondément	ADV	profondément
respectables	ADJ	respectable
».	VER:futu	».
jean-jacques	ADJ	jean-jacques
aillagon	NOM	aillagon
,	PUN	,
ministre	NOM	ministre
de	PRP	de
la	DET:ART	le
culture	NOM	culture
et	KON	et
de	PRP	de
la	DET:ART	le
communication	NOM	communication
,	PUN	,
a	VER:pres	avoir
rendu	VER:pper	rendre
hommage	NOM	hommage
à	PRP	à
françoise	ADJ	françoise
giroud	NOM	giroud
,	PUN	,
«	PUN:cit	«
une	NUM	un
des	PRP:det	du
consciences	NOM	conscience
les	DET:ART	le
plus	ADV	plus
lumineuses	ADJ	lumineux
de	PRP	de
la	DET:ART	le
société	NOM	société
française	ADJ	français
.	SENT	.
par	PRP	par
son	DET:POS	son
exemple	NOM	exemple
et	KON	et
son	DET:POS	son
action	NOM	action
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
fait	VER:pper	faire
partie	VER:pper	partir
de	PRP	de
ces	PRO:DEM	ce
femmes	NOM	femme
qui	PRO:REL	qui
ont	VER:pres	avoir
fait	VER:pper	faire
avancer	VER:infi	avancer
dans	PRP	dans
notre	DET:POS	notre
pays	NOM	pays
la	DET:ART	le
cause	NOM	cause
des	PRP:det	du
libertés	NOM	liberté
,	PUN	,
celle	PRO:DEM	celui
de	PRP	de
l'	DET:ART	le
égalité	NOM	égalité
,	PUN	,
entre	PRP	entre
les	DET:ART	le
femmes	NOM	femme
et	KON	et
les	DET:ART	le
hommes	NOM	homme
mais	KON	mais
aussi	ADV	aussi
entre	PRP	entre
toutes	PRO:IND	tout
les	DET:ART	le
composantes	NOM	composante
de	PRP	de
la	DET:ART	le
société	NOM	société
française	ADJ	français
»	PUN:cit	»
michèle	NOM	michèle
cotta	NOM	cotta
:	PUN	:
«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
un	DET:ART	un
modèle	NOM	modèle
.	SENT	.
j'	PRO:PER	je
ai	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
chance	NOM	chance
de	PRP	de
débuter	VER:infi	débuter
dans	PRP	dans
le	DET:ART	le
journalisme	NOM	journalisme
avec	PRP	avec
elle	PRO:PER	elle
.	SENT	.
et	KON	et
je	PRO:PER	je
ne	ADV	ne
l'	PRO:PER	la|le
oublierai	VER:futu	oublier
jamais	ADV	jamais
.	SENT	.
les	DET:ART	le
obligations	NOM	obligation
professionnelles	ADJ	professionnel
ont	VER:pres	avoir
toujours	ADV	toujours
prévalu	VER:pper	prévaloir
.	SENT	.
il	PRO:PER	il
y	PRO:PER	y
avait	VER:impf	avoir
aussi	ADV	aussi
la	DET:ART	le
chaleur	NOM	chaleur
de	PRP	de
l'	DET:ART	le
accueil	NOM	accueil
,	PUN	,
la	DET:ART	le
leçon	NOM	leçon
et	KON	et
la	DET:ART	le
compréhension	NOM	compréhension
à	PRP	à
un	DET:ART	un
journaliste	NOM	journaliste
qui	PRO:REL	qui
commençait	VER:impf	commencer
»	PUN:cit	»
jack	NOM	jack
lang	ADJ	lang
,	PUN	,
ancien	ADJ	ancien
ministre	NOM	ministre
de	PRP	de
la	DET:ART	le
culture	NOM	culture
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
dit	VER:pper	dire
«	PUN:cit	«
bouleversé	VER:pper	bouleverser
.	SENT	.
françoise	ADJ	françoise
giroud	NOM	giroud
alliait	VER:impf	allier
le	DET:ART	le
charme	NOM	charme
infini	ADJ	infini
d'	PRP	de
une	DET:ART	un
intelligence	NOM	intelligence
rare	ADJ	rare
,	PUN	,
la	DET:ART	le
générosité	NOM	générosité
de	PRP	de
son	DET:POS	son
regard	NOM	regard
lucide	ADJ	lucide
et	KON	et
chaleureux	ADJ	chaleureux
sur	PRP	sur
la	DET:ART	le
vie	NOM	vie
et	KON	et
le	DET:ART	le
raffinement	NOM	raffinement
d'	PRP	de
une	DET:ART	un
écriture	NOM	écriture
vive	ADJ	vif
,	PUN	,
éclatante	ADJ	éclatant
et	KON	et
décapante	ADJ	décapante
.	SENT	.
c'	PRO:DEM	ce
était	VER:impf	être
une	DET:ART	un
grande	ADJ	grand
dame	NOM	dame
de	PRP	de
la	DET:ART	le
presse	NOM	presse
,	PUN	,
de	PRP	de
la	DET:ART	le
culture	NOM	culture
et	KON	et
de	PRP	de
la	DET:ART	le
vie	NOM	vie
publique	ADJ	publique
».	ADJ	».
